,年,順位,球団,勝,防御率,打率,本塁打,盗塁,得点,失点,犠打,犠打率,QS率,得点圏,UC打率,代打率,失策,打点,安打数,単打,2塁打,3塁打,出塁率,長打率,OPS,得点圏打数,得点圏安打,得点圏打率,UC打数,UC安打,UC率,UC本塁打,試合数,打席数,打数,四球,死球,企盗塁,盗塁成功率,企犠打,犠打成功率,犠飛,代打数,代打安打,併殺,三振,先発防御率,救援防御率,S,奪三振,投球回,奪三振率,投球数,打者数,被安打,被本塁打,与四球,与死球,敬遠,自責点,完投,完封,無四球,被打率,援護点,援護率,WHIP,UC被安打,UC被打率,UC被本塁打,平均動員数
2011_1,2011,1,中日,75,2.46,0.228,82,41,419,410,163,80.69,65.97,0.232,0.216,0.189,83,401,1044,766,171,25,0.298,0.33,0.627,1040,241,0.232,2499,540,0.216,39,144,5235,4584,423,42,61,0.672,202,0.807,23,217,41,99,988,2.61,2.1,47,891,1282 1/3,6.25,19623,5221,1093,73,296,53,20,351,12,5,5,0.225,413,2.89,1.08,586,0.225,37,29777
2011_2,2011,2,ヤクルト,70,3.36,0.244,85,43,484,504,171,86.8,53.47,0.254,0.254,0.202,56,461,1132,859,169,19,0.312,0.343,0.655,1113,283,0.254,2339,593,0.254,45,144,5321,4645,431,45,58,0.741,197,0.868,29,188,38,96,877,3.32,3.48,36,968,1267,6.88,20235,5309,1192,93,381,63,14,475,14,5,2,0.246,474,3.36,1.24,552,0.252,48,18726
2011_3,2011,3,巨人,71,2.61,0.243,108,106,471,417,124,78.48,59.72,0.269,0.241,0.247,67,455,1145,850,173,14,0.298,0.354,0.652,1054,283,0.269,2406,579,0.241,60,144,5242,4716,323,55,144,0.736,158,0.785,24,259,64,79,1003,2.72,2.4,37,999,1284 1/3,7.0,20424,5284,1097,74,369,53,18,373,12,2,2,0.226,466,3.25,1.14,569,0.236,40,37736
2011_4,2011,4,阪神,68,2.83,0.255,80,62,482,443,118,86.13,57.64,0.254,0.252,0.224,73,451,1206,925,176,25,0.307,0.354,0.661,1145,291,0.254,2286,576,0.252,33,144,5245,4727,336,31,89,0.697,137,0.861,33,263,59,104,884,2.92,2.64,42,1119,1266 1/3,7.95,20621,5222,1049,64,379,48,35,398,11,5,1,0.22,481,3.4,1.13,543,0.229,35,40256
2011_5,2011,5,広島,60,3.22,0.245,52,65,439,496,180,88.24,60.42,0.251,0.247,0.232,64,420,1136,889,177,18,0.305,0.324,0.629,1161,291,0.251,2280,563,0.247,29,144,5272,4639,340,76,103,0.631,204,0.882,36,271,63,90,877,3.12,3.42,37,990,1270 2/3,7.01,20368,5322,1160,83,367,61,25,454,10,5,1,0.238,432,3.06,1.2,555,0.237,41,21980
2011_6,2011,6,横浜,47,3.87,0.239,78,31,423,587,154,81.91,40.97,0.24,0.237,0.263,75,408,1106,842,173,13,0.296,0.333,0.629,1042,250,0.24,2230,528,0.237,41,144,5198,4625,329,59,53,0.585,188,0.819,31,300,79,106,1114,4.34,3.12,34,874,1255 2/3,6.26,20454,5357,1271,117,360,49,16,541,2,1,0,0.258,416,2.97,1.3,535,0.267,51,15308
2012_1,2012,1,巨人,86,2.16,0.256,94,102,534,354,134,85.35,63.89,0.251,0.252,0.265,77,505,1216,897,207,18,0.326,0.367,0.693,1242,312,0.251,2213,557,0.252,40,144,5420,4742,455,52,134,0.761,157,0.854,36,253,67,99,952,2.35,1.8,48,1021,1285 2/3,7.15,20051,5180,1043,64,346,48,12,309,9,6,1,0.218,417,4.03,1.08,505,0.22,28,40333
2012_2,2012,2,中日,75,2.58,0.245,70,59,423,405,120,78.43,58.33,0.225,0.245,0.194,55,400,1156,890,185,11,0.311,0.334,0.645,1145,258,0.225,2375,581,0.245,40,144,5320,4714,416,45,91,0.648,153,0.784,25,237,46,105,904,2.65,2.45,53,877,1285 1/3,6.14,19519,5173,1078,65,304,48,20,369,8,2,4,0.225,296,2.95,1.08,565,0.229,26,28896
2012_3,2012,3,ヤクルト,68,3.35,0.26,90,63,499,514,171,84.24,55.56,0.258,0.249,0.224,72,471,1218,942,168,18,0.325,0.361,0.686,1202,310,0.258,2357,587,0.249,47,144,5360,4693,421,47,94,0.67,203,0.842,27,241,54,116,805,3.4,3.32,35,843,1269 2/3,5.98,20522,5387,1234,85,426,52,15,472,12,7,0,0.252,357,3.45,1.31,570,0.256,34,18371
2012_4,2012,4,広島,61,2.72,0.233,76,79,427,454,175,83.33,63.89,0.224,0.22,0.252,113,403,1077,796,192,13,0.297,0.33,0.627,1146,257,0.224,2243,493,0.22,26,144,5246,4614,374,57,117,0.675,210,0.833,26,258,65,86,912,2.59,3.03,34,955,1272 1/3,6.76,20736,5328,1122,64,406,48,13,384,6,3,0,0.231,315,3.02,1.2,540,0.236,30,22079
2012_5,2012,5,阪神,55,2.65,0.236,58,65,410,438,115,79.31,65.97,0.227,0.228,0.208,69,392,1115,871,169,17,0.302,0.316,0.618,1162,264,0.227,2389,544,0.228,26,144,5305,4717,415,36,100,0.65,145,0.793,22,298,62,97,957,2.85,2.15,29,985,1272 1/3,6.97,20622,5278,1141,73,361,50,23,374,8,4,1,0.236,293,2.77,1.18,557,0.244,37,37886
2012_6,2012,6,ＤｅＮＡ,46,3.76,0.233,66,62,422,571,124,78.48,46.53,0.236,0.235,0.234,80,400,1083,832,164,21,0.298,0.32,0.618,1072,253,0.236,2329,548,0.235,25,144,5227,4640,380,56,105,0.59,158,0.785,26,278,65,98,931,4.04,3.23,24,863,1258,6.17,20958,5404,1210,97,449,54,31,525,11,3,2,0.248,277,2.85,1.32,548,0.261,40,16194
2013_1,2013,1,巨人,84,3.2,0.262,145,90,597,508,109,85.83,55.56,0.259,0.26,0.236,62,575,1285,911,215,14,0.326,0.4,0.727,1219,316,0.259,2288,594,0.26,62,144,5525,4906,432,51,119,0.756,127,0.858,27,263,62,97,930,3.52,2.57,48,1094,1300 2/3,7.57,21411,5418,1165,117,406,48,9,463,8,2,1,0.235,411,3.98,1.21,506,0.233,55,41781
2013_2,2013,2,阪神,73,3.07,0.255,82,81,531,488,112,77.78,63.19,0.256,0.245,0.174,65,503,1236,920,216,18,0.326,0.358,0.684,1261,323,0.256,2400,589,0.245,41,144,5511,4842,489,37,119,0.681,144,0.778,31,258,45,107,933,3.07,3.1,23,1038,1296,7.21,21194,5377,1165,114,382,33,18,442,14,7,5,0.236,380,3.64,1.19,526,0.233,44,38494
2013_3,2013,3,広島,69,3.46,0.248,110,112,557,554,160,87.91,52.08,0.251,0.251,0.218,106,528,1174,845,203,16,0.319,0.367,0.686,1212,304,0.251,2087,523,0.251,44,144,5449,4739,467,47,159,0.704,182,0.879,36,284,62,89,1089,3.54,3.29,31,916,1290 2/3,6.39,21240,5451,1192,114,442,56,18,496,6,1,2,0.242,414,4.11,1.27,517,0.254,50,21744
2013_4,2013,4,中日,64,3.81,0.245,111,57,526,599,98,75.97,44.44,0.244,0.245,0.224,78,501,1187,871,190,15,0.315,0.359,0.675,1133,277,0.244,2366,580,0.245,50,144,5486,4844,471,41,88,0.648,129,0.76,32,268,60,129,939,4.1,3.39,39,916,1298,6.35,21611,5620,1297,110,461,50,34,550,2,1,1,0.256,340,3.67,1.35,625,0.267,47,27753
2013_5,2013,5,ＤｅＮＡ,64,4.5,0.262,132,54,630,686,133,86.93,41.67,0.285,0.258,0.208,66,595,1271,929,191,19,0.325,0.39,0.715,1187,338,0.285,2186,563,0.258,42,144,5487,4856,400,69,87,0.621,153,0.869,29,279,58,111,1057,4.87,3.9,28,931,1279 1/3,6.55,22200,5632,1340,153,538,45,13,640,9,4,0,0.266,352,3.77,1.47,559,0.282,63,19802
2013_6,2013,6,ヤクルト,57,4.26,0.253,134,70,577,682,146,82.95,47.22,0.258,0.239,0.258,93,558,1220,907,163,16,0.327,0.377,0.703,1184,306,0.258,2037,487,0.239,51,144,5542,4826,519,25,95,0.737,176,0.83,26,279,72,101,900,4.35,4.13,31,965,1285 1/3,6.76,21835,5629,1341,138,466,56,15,609,8,5,2,0.263,416,4.32,1.41,605,0.281,57,19899
2014_1,2014,1,巨人,82,3.58,0.257,144,102,596,552,117,82.98,55.56,0.29,0.268,0.244,71,570,1248,890,207,7,0.321,0.391,0.712,1160,336,0.29,2250,603,0.268,64,144,5480,4862,419,54,132,0.773,141,0.83,28,221,54,124,923,3.36,4.01,41,998,1306 1/3,6.88,21543,5510,1288,122,362,49,18,520,10,4,3,0.253,405,4.02,1.26,581,0.252,53,41921
2014_2,2014,2,阪神,75,3.88,0.264,94,55,599,614,121,80.13,59.03,0.27,0.26,0.247,85,563,1274,939,226,15,0.335,0.376,0.71,1259,340,0.27,2124,552,0.26,46,144,5507,4823,483,45,92,0.598,151,0.801,35,263,65,124,1009,3.73,4.2,39,1174,1282,8.24,21777,5476,1240,104,422,44,11,552,9,4,1,0.248,421,4.08,1.3,538,0.252,46,37355
2014_3,2014,3,広島,74,3.79,0.272,153,96,649,610,120,88.89,52.08,0.272,0.275,0.277,89,612,1326,931,219,23,0.337,0.42,0.757,1287,350,0.272,2001,551,0.275,64,144,5538,4878,450,50,150,0.64,135,0.889,40,285,79,104,1134,3.8,3.75,29,933,1283 2/3,6.54,21026,5478,1298,121,398,55,10,540,6,2,1,0.259,449,4.54,1.32,534,0.255,52,26455
2014_4,2014,4,中日,67,3.69,0.258,87,75,570,590,126,82.89,50.0,0.25,0.257,0.229,75,537,1250,927,215,21,0.325,0.364,0.689,1266,317,0.25,2252,579,0.257,44,144,5521,4854,467,34,102,0.735,152,0.829,40,292,67,109,926,3.94,3.24,35,970,1293 1/3,6.75,21392,5505,1213,110,495,52,8,530,6,4,2,0.245,387,3.95,1.32,553,0.261,45,27790
2014_5,2014,5,ＤｅＮＡ,67,3.77,0.253,121,76,568,624,149,84.66,52.78,0.278,0.246,0.27,116,540,1224,865,211,27,0.317,0.383,0.7,1174,326,0.278,2060,506,0.246,54,144,5464,4833,400,61,100,0.76,176,0.847,21,285,77,110,1107,3.89,3.53,30,939,1289 1/3,6.55,21860,5582,1321,130,442,47,14,540,11,4,4,0.26,410,4.06,1.37,599,0.273,59,21730
2014_6,2014,6,ヤクルト,60,4.62,0.279,139,62,667,717,118,87.41,47.22,0.277,0.279,0.261,97,647,1401,1024,223,15,0.339,0.412,0.752,1262,350,0.277,1991,555,0.279,48,144,5653,5023,443,35,83,0.747,135,0.874,34,284,74,112,877,4.64,4.62,31,940,1283,6.59,21678,5645,1386,161,462,40,22,659,5,2,0,0.271,440,4.55,1.44,555,0.287,71,19983
2015_1,2015,1,ヤクルト,76,3.31,0.257,107,83,574,518,104,81.25,51.05,0.268,0.257,0.21,71,547,1240,894,223,16,0.322,0.377,0.699,1198,321,0.268,2211,568,0.257,39,143,5423,4817,433,37,111,0.748,128,0.813,31,262,55,96,909,3.68,2.67,42,935,1272 2/3,6.61,20733,5355,1204,112,416,48,13,468,3,3,1,0.247,391,4.08,1.27,532,0.251,56,23021
2015_2,2015,2,巨人,75,2.78,0.243,97,99,488,443,115,73.72,60.84,0.252,0.243,0.243,72,466,1135,832,190,16,0.313,0.354,0.667,1149,289,0.252,2459,598,0.243,44,143,5299,4668,434,52,130,0.762,156,0.737,30,251,61,92,974,2.81,2.71,43,992,1271,7.02,20257,5214,1096,99,365,39,10,393,11,5,2,0.228,354,3.43,1.15,590,0.236,51,42270
2015_3,2015,3,阪神,70,3.47,0.247,78,48,465,550,138,81.18,60.14,0.239,0.253,0.236,77,446,1160,875,192,15,0.317,0.343,0.661,1188,284,0.239,2273,575,0.253,42,143,5373,4705,464,38,84,0.571,170,0.812,28,276,65,93,1001,3.2,4.16,42,1090,1272 1/3,7.71,21425,5448,1230,94,445,44,7,491,10,6,2,0.248,342,3.28,1.32,579,0.242,36,39977
2015_4,2015,4,広島,69,2.93,0.246,105,80,506,474,135,80.84,66.43,0.235,0.232,0.26,88,473,1170,832,201,32,0.312,0.368,0.681,1162,273,0.235,2349,545,0.232,52,143,5386,4752,441,29,130,0.615,167,0.808,29,227,59,87,1082,2.96,2.86,36,1010,1286 1/3,7.07,21224,5379,1174,74,416,35,3,419,9,1,1,0.238,389,3.61,1.24,624,0.248,39,29722
2015_5,2015,5,中日,62,3.19,0.253,71,88,473,504,114,85.07,58.74,0.248,0.25,0.284,94,434,1222,944,188,19,0.313,0.344,0.657,1224,304,0.248,2568,642,0.25,39,143,5414,4835,401,36,121,0.727,134,0.851,27,271,77,83,1000,3.28,3.01,34,966,1279,6.8,21083,5373,1169,91,416,41,9,453,9,4,1,0.238,326,3.27,1.24,611,0.249,42,28469
2015_6,2015,6,ＤｅＮＡ,62,3.8,0.249,112,57,508,598,137,81.55,50.35,0.27,0.247,0.206,82,488,1186,837,219,18,0.306,0.373,0.679,1152,311,0.27,2333,576,0.247,52,143,5328,4763,361,43,93,0.613,168,0.815,24,306,63,77,1047,4.0,3.44,40,1003,1267 2/3,7.12,21599,5493,1298,113,456,29,8,535,7,1,2,0.26,341,3.52,1.38,616,0.273,49,25546
2016_1,2016,1,広島,89,3.21,0.272,153,118,684,497,91,84.26,62.24,0.264,0.273,0.225,67,649,1338,947,203,35,0.343,0.421,0.765,1292,341,0.264,2163,591,0.273,57,143,5582,4914,500,47,170,0.694,108,0.843,29,275,62,85,1063,3.29,3.06,37,966,1284,0.08,21069,5396,1194,101,411,42,7,458,7,5,0,0.242,458,4.56,1.25,544,0.248,48,29963
2016_2,2016,2,巨人,71,3.45,0.251,128,62,519,543,112,80.58,57.34,0.247,0.262,0.174,85,497,1203,839,217,19,0.31,0.384,0.694,1157,286,0.247,2240,586,0.262,67,143,5356,4797,389,35,88,0.705,139,0.806,23,213,37,100,961,3.37,3.63,41,1061,1282 1/3,0.09,21437,5422,1248,119,392,49,3,492,8,3,3,0.251,398,3.91,1.28,618,0.253,56,41724
2016_3,2016,3,ＤｅＮＡ,69,3.76,0.249,140,67,572,588,81,73.64,53.85,0.28,0.251,0.241,73,548,1205,850,194,21,0.309,0.385,0.694,1146,321,0.28,2140,538,0.251,58,143,5364,4838,373,54,100,0.67,110,0.736,18,278,67,92,1049,3.76,3.76,35,1059,1274,0.09,21217,5438,1253,143,397,31,22,532,9,5,1,0.251,409,3.92,1.3,537,0.248,61,26933
2016_4,2016,4,阪神,64,3.38,0.245,90,59,506,546,88,77.19,60.84,0.249,0.237,0.197,97,475,1171,860,204,17,0.312,0.351,0.662,1118,278,0.249,2193,519,0.237,32,143,5401,4789,435,51,84,0.702,114,0.772,38,300,59,99,1149,3.43,3.29,31,1166,1274 2/3,0.1,21781,5436,1139,100,483,41,15,479,8,5,0,0.233,380,3.73,1.27,525,0.25,41,40994
2016_5,2016,5,ヤクルト,64,4.73,0.256,113,82,594,694,85,77.98,41.26,0.263,0.261,0.25,59,565,1234,891,210,20,0.331,0.378,0.709,1296,341,0.263,2010,525,0.261,56,143,5509,4828,524,39,105,0.781,109,0.78,33,248,62,117,907,4.96,4.34,31,872,1260 2/3,0.08,21392,5541,1333,147,457,75,19,663,7,2,3,0.267,399,4.18,1.42,529,0.284,51,25063
2016_6,2016,6,中日,58,3.65,0.245,89,60,500,573,108,78.26,51.75,0.239,0.237,0.235,65,473,1180,861,209,21,0.309,0.353,0.662,1170,280,0.239,2259,535,0.237,37,143,5405,4813,410,46,88,0.682,138,0.783,28,260,61,103,1001,3.95,3.04,25,980,1281 1/3,0.08,21783,5468,1222,115,464,48,5,519,8,2,2,0.247,339,3.39,1.32,598,0.26,50,28991
2017_1,2017,1,広島,88,3.39,0.273,152,112,736,540,116,80.0,58.04,0.297,0.261,0.26,68,705,1329,917,237,23,0.345,0.424,0.769,1325,393,0.297,2150,562,0.261,63,143,5592,4872,511,49,152,0.737,145,0.8,44,258,67,95,1114,3.71,2.77,36,1035,1290 2/3,0.09,21580,5446,1182,92,473,26,3,486,4,2,1,0.239,528,5.24,1.28,544,0.246,40,30670
2017_2,2017,2,阪神,78,3.3,0.249,113,70,589,528,113,80.14,47.55,0.248,0.246,0.223,82,559,1195,851,213,18,0.327,0.371,0.698,1264,313,0.248,2104,518,0.246,47,143,5520,4807,531,43,98,0.714,141,0.801,26,287,64,97,1008,3.66,2.68,38,1223,1285 2/3,0.11,21489,5446,1178,92,445,62,3,472,4,1,0,0.239,430,4.01,1.26,536,0.248,34,42148
